Class,Confidence,top,left,bottom,right,Width,Height,Model,Inference Time (Sec),Driving Condition,ImageID
3,0.0119161755,0.46107715,0.54851735,0.51842535,0.61630356,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0118257385,0.3282169,0.35765117,0.4345903,0.51878345,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.010908892,0.36565316,0.90571785,0.4582354,0.9916967,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.009033112,0.57055897,0.24115266,0.7183802,0.4011944,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.008942609,0.51438874,0.45825782,0.5846678,0.53794354,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0070402906,0.465452,0.53950286,0.5318143,0.61064947,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0062256716,0.34203365,0.9301243,0.3949507,0.9934294,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0053224936,0.5331636,0.26052088,0.71561223,0.4410503,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.004680987,0.9392318,0.47234187,0.99778163,0.5671999,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0038380283,0.2706006,0.34044397,0.43486044,0.5406977,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.003813986,0.5313281,0.31790724,0.67316127,0.46074829,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0035370074,0.31226546,0.95595485,0.40825778,0.9982179,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0029957735,0.30979946,0.9655291,0.36826515,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.002979468,0.4225226,0.72106653,0.4781922,0.78838307,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0028749986,0.4278947,0.02319415,0.53874797,0.16942549,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0028727732,0.29152486,0.37359843,0.46539903,0.5413037,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0025041637,0.38937253,0.8910308,0.45648837,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0022175077,0.9377054,0.47123492,0.9932419,0.5496342,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0020988535,0.52280146,0.45251343,0.59050506,0.5571314,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.002088728,0.5186399,0.29892388,0.69764185,0.46925244,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0020541039,0.72934616,0.051861007,0.7827035,0.11505596,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0020215353,0.52303684,0.4092174,0.6219084,0.46353272,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0019516114,0.45104906,0.44360802,0.6067793,0.5664479,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0017723942,0.41358882,0.01192192,0.5166171,0.16837367,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0016923692,0.5646545,0.3996683,0.626073,0.48336825,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0016889698,0.3617178,0.90675735,0.4461756,0.99305296,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.001558086,0.31961665,0.90727544,0.43794635,0.98975265,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0015562169,0.29245836,0.89451206,0.47789797,0.9803382,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0015332857,0.42638543,0.0024792403,0.5474213,0.16927068,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0015273786,0.44808266,0.20584455,0.7452172,0.46997133,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0014586562,0.5395281,0.39242548,0.61511177,0.47499675,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0013789587,0.3707334,0.8869517,0.48798913,0.9934943,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0013621809,0.50458086,0.45463768,0.6035639,0.5245509,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0013399953,0.31961396,0.9629053,0.38768995,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0013255639,0.5713387,0.0021779463,0.7227895,0.10158036,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0012805616,0.31689718,0.8475118,0.5110138,0.99240905,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0012574908,0.6036288,0.009178344,0.7249892,0.07793485,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0012145491,0.4884943,0.52227813,0.5371746,0.6022425,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0011995459,0.5600943,0.29380676,0.723319,0.5161638,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0011602103,0.5157624,0.42138997,0.6179948,0.4794149,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0011152427,0.36039254,0.915497,0.4667179,0.9699634,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0010981809,0.62167776,0.0030345023,0.7091115,0.07145292,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0010920713,0.41904855,0.71204114,0.48259985,0.7486484,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0010452602,0.5604231,0.20750985,0.6138388,0.2554561,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0010327372,0.38097438,0.92259467,0.47604075,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0010239021,0.5804225,0.19466996,0.7143355,0.41903818,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0010231697,0.43076912,0.7007202,0.47687465,0.7614459,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.001004148,0.43775347,0.6766473,0.47302216,0.77267456,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0009821237,0.18931904,0.050743937,0.6744095,0.31247082,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0009782398,0.37907594,0.88371766,0.47023958,0.9842844,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0009574012,0.36869943,0.8551878,0.41097647,0.9095621,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0009471943,0.29062447,0.89656043,0.47469637,0.9948331,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.00089890667,0.55098885,0.00959985,0.7807426,0.14306152,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0008971534,0.44512534,0.0,0.72981775,0.115771,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.00088134245,0.22311601,0.043146923,0.78542745,0.23418482,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0008555144,0.5038596,0.4692483,0.5996117,0.54806864,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0008478549,0.4204016,0.72680736,0.48114502,0.76654625,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00084555964,0.35585746,0.8433217,0.48037136,0.99920523,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.00079820247,0.34165433,0.915226,0.4037422,0.9823333,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0007941342,0.35386285,0.93217134,0.43631944,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00078424456,0.35180745,0.85747534,0.46467763,0.9771815,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00077017857,0.3512464,0.89638734,0.44162643,0.99335,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
2,0.00076866517,0.41428626,0.7298193,0.46284506,0.80098176,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0007643689,0.5488119,0.19392097,0.6098389,0.2669181,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.000747577,0.38979313,0.867296,0.45473406,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00074162416,0.41124007,0.71718436,0.48544812,0.79691476,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.0007244932,0.36179093,0.8997444,0.43399405,0.9943297,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.0007194337,0.3839211,0.89473367,0.45650545,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.0007183066,0.3753404,0.8935554,0.4353361,0.9678575,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0007155221,0.46872866,0.46889076,0.5876879,0.5115589,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
4,0.00067957037,0.4127534,0.750678,0.48651412,0.8024731,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.000674672,0.35284802,0.9159013,0.4183382,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0006699216,0.51693386,0.4569104,0.6009042,0.5363537,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0006458567,0.4591973,0.5442268,0.51616246,0.60336775,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.000627276,0.380478,0.92203,0.46525306,0.99447083,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0006248866,0.30052754,0.9255437,0.44394302,0.98457533,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.00061713805,0.31688452,0.94826204,0.36980873,0.99974877,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0006124217,0.5463658,0.011792406,0.7718715,0.15493888,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.000601482,0.45839027,0.53334945,0.53757334,0.58389324,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0005999564,0.5484893,0.3850478,0.6369568,0.4763714,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0005864828,0.54190713,0.37167066,0.62572455,0.4719808,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
2,0.0005655897,0.35463732,0.91281587,0.4070005,0.9979425,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.00054535223,0.36224288,0.02067677,0.833856,0.18276861,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0005419836,0.20718288,0.030033976,0.6837171,0.19126645,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.00054157106,0.54593664,0.39002472,0.6392092,0.4613738,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.0005349408,0.5222934,0.39263815,0.6065909,0.48415577,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0005303059,0.45629412,0.054328606,0.7486608,0.3600934,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.00051864877,0.28092712,0.8890052,0.42461765,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00051528896,0.37648854,0.9306966,0.43702894,0.993472,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0005055385,0.47729918,0.54608923,0.5371844,0.62172455,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.0005015321,0.72335404,0.06677322,0.79208726,0.13719572,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00049973454,0.31988332,0.8834558,0.42840162,0.9841084,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0004951148,0.5563167,0.21958125,0.6126571,0.27387166,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00047960543,0.5057603,0.4442833,0.58822423,0.52481234,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0004718932,0.32338867,0.94456697,0.39901903,0.9912158,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.00046725007,0.36270955,0.9066665,0.4216494,0.9926374,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.000465119,0.35672793,0.94099593,0.42481786,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00045432066,0.43465886,0.70858455,0.47819018,0.80565846,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00045387977,0.48360816,0.5003821,0.5380152,0.5935263,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
4,0.0004498989,0.36254287,0.9041845,0.45902514,0.99775666,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
2,0.00044438295,0.42219126,0.7126981,0.46492705,0.78614676,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00043824292,0.48882952,0.51350844,0.53262866,0.5814605,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.0004327008,0.48842132,0.47553378,0.5823369,0.5346125,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
4,0.00042714967,0.4158277,0.725876,0.48115972,0.78318644,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.00042053088,0.5504,0.3033432,0.76283264,0.4561545,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.0004182967,0.36869547,0.8530519,0.40997827,0.9075972,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
4,0.00041666094,0.5041082,0.47415024,0.5950008,0.5458526,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.00041291246,0.4150597,0.74730015,0.47761837,0.7903414,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.0004109885,0.51643384,0.44315726,0.5800394,0.5084349,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00040550155,0.59911805,0.20864165,0.7596016,0.41905218,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.00040216584,0.46376875,0.014434513,0.5286352,0.09790401,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.0004016106,0.55712676,0.3857669,0.6235329,0.48171481,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00040138737,0.34048638,0.8715521,0.44907913,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.00039499247,0.53046054,0.38815022,0.59783435,0.49163353,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00039462806,0.5034795,0.40699074,0.63671905,0.4695572,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.00038521126,0.3916653,0.9190574,0.46441236,0.975045,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.00037945854,0.3811387,0.9071214,0.44630823,0.99024403,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0003767135,0.6015842,0.0,0.67729926,0.07467637,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0003745324,0.46818674,0.48934203,0.58377194,0.5285433,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.00037250126,0.47991574,0.016604804,0.71042335,0.20298925,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
11,0.0003723693,0.5286251,0.49447662,0.60285467,0.53962606,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
4,0.0003701968,0.3574432,0.93670326,0.4508664,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0003701882,0.35845765,0.90631056,0.4742135,0.97296596,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.0003695083,0.52685446,0.48072124,0.58176214,0.55426896,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.00036588626,0.3666392,0.93515855,0.42008626,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00036328757,0.3679362,0.8659096,0.42127043,0.9914843,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.00036069722,0.3590958,0.9274748,0.43122494,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.00035876254,0.4255547,0.7206009,0.46494424,0.7860262,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
10,0.00035477223,0.35056356,0.93017703,0.41737157,0.99448174,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00035331812,0.5046782,0.38702574,0.6387461,0.4514934,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.000352968,0.5284349,0.45394993,0.589435,0.5663357,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.0003457689,0.40009654,0.90137684,0.45876223,0.97570264,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
10,0.00034372957,0.3708329,0.9313016,0.45357072,0.99141383,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0003430755,0.6240427,0.0,0.6989254,0.08940871,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.00033837772,0.42189252,0.7108599,0.47245628,0.7885175,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.00033792935,0.38673466,0.94709694,0.44726664,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.0003328765,0.37530988,0.8206924,0.507878,0.97525275,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.0003265281,0.4383983,0.6883759,0.4733194,0.7518353,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00032640234,0.41826007,0.69053876,0.48614964,0.75827014,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
10,0.00031799776,0.5101632,0.46380156,0.59827405,0.5473942,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00031756898,0.469708,0.5004786,0.5522079,0.59313655,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.0003096686,0.51322573,0.4644924,0.58473474,0.52822685,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
6,0.0003091505,0.5880761,0.18960848,0.70018923,0.4110463,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.0003026616,0.42105216,0.7236188,0.464329,0.7996736,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.0003025852,0.6099493,0.18302184,0.7051726,0.35926288,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00030110232,0.37183547,0.83713347,0.48401564,0.97271913,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
8,0.00029658483,0.18890235,0.14568259,0.8211235,0.36814755,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
2,0.0002963282,0.29757366,0.87701327,0.43557504,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.00029234486,0.5049565,0.4599569,0.60129935,0.539151,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
5,0.000291595,0.5307398,0.43737128,0.5932296,0.55566007,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.00029137632,0.37544158,0.9213315,0.44490194,1.0,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00028552086,0.54374623,0.404827,0.595311,0.4618411,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
12,0.00028536527,0.4983242,0.4877475,0.57957184,0.54452497,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
1,0.00028515572,0.43852782,0.72914356,0.4779694,0.7787357,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
7,0.00028366037,0.3354252,0.9351897,0.4600726,0.99642146,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
3,0.00028273303,0.55077004,0.21365489,0.634593,0.2711834,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
9,0.0002809611,0.42556185,0.7360474,0.4667178,0.8078263,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
13,0.0002790639,0.38103893,0.8896936,0.47741503,0.9661139,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
10,0.00027816358,0.40524498,0.7431757,0.47228283,0.7987897,600,337,faster_rcnn_inception_v2_coco_custom,5.584452152252197,Night,IMG_6153_38.jpg
