filename,width,height,class,xmin,ymin,xmax,ymax
IMG_5963.jpg,600,450,truck,290,167,339,204
IMG_5963.jpg,600,450,truck,1,168,43,208
IMG_5963.jpg,600,450,car,25,173,55,200
IMG_5963.jpg,600,450,car,18,156,83,192
IMG_6062_270.jpg,600,337,car,2,182,111,225
IMG_6062_270.jpg,600,337,car,162,166,256,198
IMG_6062_270.jpg,600,337,car,254,167,366,209
IMG_6062_270.jpg,600,337,car,352,144,446,180
IMG_5962.jpg,600,450,car,351,200,528,264
IMG_5962.jpg,600,450,car,290,195,401,258
IMG_5976.jpg,600,450,car,164,228,249,287
IMG_5976.jpg,600,450,car,391,235,495,295
IMG_5976.jpg,600,450,car,308,229,334,247
IMG_6082_441.jpg,600,337,car,416,152,565,206
IMG_6082_441.jpg,600,337,car,382,154,438,197
IMG_6082_441.jpg,600,337,truck,265,157,339,180
IMG_6082_441.jpg,600,337,car,1,171,47,208
IMG_6082_441.jpg,600,337,car,21,167,113,194
IMG_6082_441.jpg,600,337,car,188,163,238,182
IMG_6082_441.jpg,600,337,car,106,169,125,182
IMG_5960.jpg,600,450,car,214,197,306,257
IMG_5960.jpg,600,450,car,302,201,413,261
IMG_5960.jpg,600,450,truck,173,187,210,210
IMG_5948.jpg,600,450,car,24,245,216,342
IMG_5948.jpg,600,450,car,183,243,253,296
IMG_5949.jpg,600,450,car,440,247,600,373
IMG_5949.jpg,600,450,truck,337,241,365,264
IMG_5961.jpg,600,450,truck,262,225,429,294
IMG_5961.jpg,600,450,car,203,227,312,268
IMG_6062_189.jpg,600,337,car,18,228,92,256
IMG_6062_189.jpg,600,337,car,92,220,162,242
IMG_6062_189.jpg,600,337,car,199,224,274,248
IMG_6062_189.jpg,600,337,car,213,214,269,230
IMG_6062_189.jpg,600,337,car,346,224,411,245
IMG_6062_189.jpg,600,337,car,464,214,535,245
IMG_6062_189.jpg,600,337,car,529,204,594,245
IMG_6062_216.jpg,600,337,car,22,212,96,242
IMG_6062_216.jpg,600,337,car,93,228,173,255
IMG_6062_216.jpg,600,337,car,191,218,254,239
IMG_6062_216.jpg,600,337,car,250,221,309,245
IMG_6062_216.jpg,600,337,car,294,227,381,254
IMG_6082_54.jpg,600,337,car,391,141,561,201
IMG_6082_54.jpg,600,337,car,301,154,357,172
IMG_6071_0.jpg,600,337,car,147,149,290,254
IMG_6071_0.jpg,600,337,car,300,127,508,251
IMG_6082_144.jpg,600,337,car,330,172,410,199
IMG_6082_144.jpg,600,337,car,54,172,93,188
IMG_6082_144.jpg,600,337,car,1,168,31,200
IMG_6082_144.jpg,600,337,car,308,174,333,190
IMG_6082_144.jpg,600,337,car,150,173,196,185
IMG_6062_9.jpg,600,337,car,111,161,166,187
IMG_6062_9.jpg,600,337,car,421,128,457,137
IMG_6062_9.jpg,600,337,car,529,116,568,128
IMG_6062_342.jpg,600,337,car,68,148,312,243
IMG_6062_342.jpg,600,337,car,306,155,414,190
IMG_6071_135.jpg,600,337,car,130,132,304,244
IMG_6084_0.jpg,600,337,car,13,131,90,174
IMG_6084_0.jpg,600,337,car,87,127,188,187
IMG_6084_0.jpg,600,337,car,200,144,217,157
IMG_6084_0.jpg,600,337,car,239,136,278,163
IMG_5934.jpg,600,450,car,235,137,373,270
IMG_6084_108.jpg,600,337,car,19,130,131,185
IMG_6084_108.jpg,600,337,car,132,130,195,170
IMG_6084_108.jpg,600,337,car,188,130,223,157
IMG_6084_108.jpg,600,337,car,222,134,264,165
IMG_6084_108.jpg,600,337,car,294,135,327,156
IMG_6071_63.jpg,600,337,car,1,68,183,316
IMG_6071_63.jpg,600,337,car,245,169,347,246
IMG_6082_198.jpg,600,337,car,327,171,436,210
IMG_6082_198.jpg,600,337,car,287,172,326,189
IMG_6082_198.jpg,600,337,car,1,157,23,178
IMG_6082_198.jpg,600,337,car,111,163,163,180
IMG_5936.jpg,600,450,car,355,168,403,203
IMG_5936.jpg,600,450,car,336,168,359,187
IMG_5936.jpg,600,450,car,319,167,335,180
IMG_5936.jpg,600,450,truck,234,158,280,192
IMG_6062_153.jpg,600,337,car,23,224,96,248
IMG_6062_153.jpg,600,337,car,136,208,185,226
IMG_6062_153.jpg,600,337,car,169,210,234,230
IMG_6062_153.jpg,600,337,car,243,196,299,216
IMG_6062_153.jpg,600,337,car,387,176,439,201
IMG_6062_351.jpg,600,337,car,217,151,469,249
IMG_6062_450.jpg,600,337,car,4,160,167,216
IMG_6062_450.jpg,600,337,car,212,154,509,273
IMG_5978.jpg,600,450,car,177,202,275,263
IMG_5944.jpg,600,450,car,362,216,423,262
IMG_5944.jpg,600,450,car,258,211,311,234
IMG_5944.jpg,600,450,car,196,210,248,228
IMG_5950.jpg,600,450,truck,313,222,376,273
IMG_5951.jpg,600,450,truck,394,225,600,335
IMG_5951.jpg,600,450,car,341,225,394,282
IMG_5951.jpg,600,450,stop sign,318,220,329,233
IMG_5945.jpg,600,450,truck,322,241,392,289
IMG_5945.jpg,600,450,truck,90,249,210,327
IMG_5945.jpg,600,450,car,205,250,241,294
IMG_5945.jpg,600,450,car,240,247,273,269
IMG_5945.jpg,600,450,car,272,244,288,262
IMG_5979.jpg,600,450,car,365,220,517,312
IMG_5979.jpg,600,450,stop sign,364,194,385,212
IMG_6071_180.jpg,600,337,car,368,200,478,248
IMG_6071_180.jpg,600,337,car,482,210,600,297
IMG_5953.jpg,600,450,car,382,194,554,288
IMG_5953.jpg,600,450,car,332,196,383,234
IMG_5953.jpg,600,450,car,319,196,337,222
IMG_5947.jpg,600,450,car,254,202,274,217
IMG_5947.jpg,600,450,car,340,203,388,238
IMG_5946.jpg,600,450,truck,79,213,201,287
IMG_5946.jpg,600,450,car,195,220,233,257
IMG_5946.jpg,600,450,car,230,223,250,247
IMG_5952.jpg,600,450,car,7,211,187,313
IMG_5952.jpg,600,450,car,163,210,243,265
IMG_5952.jpg,600,450,car,282,214,304,231
IMG_5952.jpg,600,450,car,298,210,315,226
IMG_6062_297.jpg,600,337,car,179,161,311,207
IMG_6062_297.jpg,600,337,car,325,155,397,179
IMG_6062_297.jpg,600,337,car,387,156,448,189
IMG_6062_297.jpg,600,337,car,414,163,555,210
IMG_6082_477.jpg,600,337,car,5,195,115,246
IMG_6082_477.jpg,600,337,car,115,198,194,223
IMG_6082_477.jpg,600,337,car,269,181,325,199
IMG_6082_477.jpg,600,337,car,185,194,205,205
IMG_6082_477.jpg,600,337,car,348,166,431,195
IMG_6082_477.jpg,600,337,car,543,150,600,210
IMG_6082_477.jpg,600,337,car,495,151,579,203
IMG_5942.jpg,600,450,car,288,208,471,269
IMG_5942.jpg,600,450,car,487,232,597,279
IMG_5942.jpg,600,450,stop sign,451,79,521,149
IMG_5943.jpg,600,450,truck,48,204,228,342
IMG_5943.jpg,600,450,car,366,228,470,290
IMG_5943.jpg,600,450,car,285,226,304,245
IMG_5943.jpg,600,450,truck,321,221,369,269
IMG_5957.jpg,600,450,car,159,263,273,309
IMG_5957.jpg,600,450,car,298,233,429,287
IMG_6062_441.jpg,600,337,car,2,151,262,263
IMG_6062_441.jpg,600,337,car,304,168,430,213
IMG_6062_333.jpg,600,337,car,3,147,179,233
IMG_6062_333.jpg,600,337,car,306,159,403,189
IMG_6062_333.jpg,600,337,car,505,157,598,216
IMG_5941.jpg,600,450,truck,21,165,229,313
IMG_5941.jpg,600,450,car,390,200,448,241
IMG_5941.jpg,600,450,car,310,198,376,223
IMG_5955.jpg,600,450,car,31,201,194,292
IMG_5954.jpg,600,450,car,391,213,600,368
IMG_5954.jpg,600,450,car,309,219,415,291
IMG_5954.jpg,600,450,car,196,227,230,248
IMG_5940.jpg,600,450,truck,7,241,206,312
IMG_5940.jpg,600,450,stop sign,497,195,547,247
